@relation 'pm10'
@attribute 'hour' numeric
@attribute 'weekend' numeric
@attribute 'month' numeric
@attribute 'temp' numeric
@attribute 'temp_min' numeric
@attribute 'temp_max' numeric
@attribute 'pressure' numeric
@attribute 'humidity' numeric
@attribute 'wind_speed' numeric
@attribute 'wind_deg' numeric
@attribute 'clouds_all' numeric
@attribute 'class' {'1', '2', '3', '4', '5', '6'}
@data
0.00,1.00,1,276.64,276.15,277.15,1023,86,4,240,90,5
1.00,1.00,1,276.13,275.15,277.15,1022,86,3,220,75,6
2.00,1.00,1,275.99,275.15,277.15,1022,86,3,230,90,6
3.00,1.00,1,276.13,275.15,277.15,1021,80,4,230,90,5
4.00,1.00,1,276.13,275.15,277.15,1020,80,4,240,90,4
5.00,1.00,1,276.13,275.15,277.15,1019,80,3,230,90,3
6.00,1.00,1,276.13,275.15,277.15,1019,80,3,220,90,3
7.00,1.00,1,275.13,274.15,276.15,1018,86,3,210,75,3
8.00,1.00,1,274.62,273.15,276.15,1018,88,4,220,75,3
9.00,1.00,1,274.62,273.15,276.15,1018,86,5,240,75,3
10.00,1.00,1,275.11,273.15,277.15,1017,80,4,240,75,3
11.00,1.00,1,276.13,275.15,277.15,1017,80,3,230,75,3
12.00,1.00,1,276.64,276.15,277.15,1016,80,6,240,75,3
13.00,1.00,1,276.64,276.15,277.15,1016,80,5,250,75,3
14.00,1.00,1,276.64,276.15,277.15,1015,80,5,240,75,3
15.00,1.00,1,276.13,275.15,277.15,1015,80,6,240,75,3
16.00,1.00,1,276.13,275.15,277.15,1015,80,4,220,75,3
17.00,1.00,1,275.64,275.15,276.15,1015,96,3,210,75,3
18.00,1.00,1,275.64,275.15,276.15,1014,96,3,210,75,3
19.00,1.00,1,275.13,274.15,276.15,1014,96,4,210,75,3
20.00,1.00,1,274.64,274.15,275.15,1014,80,3,200,75,3
21.00,1.00,1,274.64,274.15,275.15,1014,74,3,220,75,3
22.00,1.00,1,273.64,273.15,274.15,1014,80,4,260,75,3
23.00,1.00,1,273.13,272.15,274.15,1014,80,4,270,75,3
0.00,0.00,1,273.64,273.15,274.15,1013,80,4,260,75,3
1.00,0.00,1,273.15,273.15,273.15,1013,95,6,270,75,3
2.00,0.00,1,272.15,272.15,272.15,1013,100,5,260,75,3
3.00,0.00,1,273.15,273.15,273.15,1013,92,4,270,90,3
4.00,0.00,1,273.15,273.15,273.15,1013,92,4,270,90,3
5.00,0.00,1,273.15,273.15,273.15,1013,96,4,280,90,3
6.00,0.00,1,273.15,273.15,273.15,1013,96,5,270,90,3
6.00,0.00,1,273.15,273.15,273.15,1013,96,5,270,90,3
7.00,0.00,1,273.64,273.15,274.15,1013,96,5,270,75,3
8.00,0.00,1,274.15,274.15,274.15,1013,100,4,270,75,3
9.00,0.00,1,274.15,274.15,274.15,1014,100,4,280,75,3
10.00,0.00,1,274.15,274.15,274.15,1014,100,3,290,75,3
10.00,0.00,1,274.15,274.15,274.15,1014,100,3,290,75,3
11.00,0.00,1,274.64,274.15,275.15,1014,93,3,280,75,3
12.00,0.00,1,275.15,275.15,275.15,1014,100,4,290,75,3
13.00,0.00,1,275.64,275.15,276.15,1014,86,4,300,75,3
14.00,0.00,1,275.64,275.15,276.15,1015,93,3,320,75,2
15.00,0.00,1,275.64,275.15,276.15,1015,91,3,300,75,2
16.00,0.00,1,275.15,275.15,275.15,1016,80,3,290,40,2
17.00,0.00,1,273.64,273.15,274.15,1017,80,2,300,20,2
18.00,0.00,1,272.66,272.15,273.15,1017,92,2,280,0,3
19.00,0.00,1,271.66,271.15,272.15,1018,92,3,270,0,3
20.00,0.00,1,271.66,271.15,272.15,1018,92,3,270,0,2
21.00,0.00,1,270.64,270.15,271.15,1018,92,3,260,20,2
22.00,0.00,1,271.13,270.15,272.15,1018,92,4,250,20,2
23.00,0.00,1,271.64,271.15,272.15,1018,100,4,250,75,2
0.00,0.00,1,272.64,272.15,273.15,1017,90,5,250,75,2
1.00,0.00,1,273.15,273.15,273.15,1017,90,5,260,75,2
2.00,0.00,1,274.15,274.15,274.15,1017,100,5,280,75,2
3.00,0.00,1,274.15,274.15,274.15,1017,100,5,270,75,2
3.00,0.00,1,274.15,274.15,274.15,1017,100,5,270,75,2
4.00,0.00,1,274.15,274.15,274.15,1017,100,6,270,75,2
4.00,0.00,1,274.15,274.15,274.15,1017,100,6,270,75,2
5.00,0.00,1,275.15,275.15,275.15,1016,93,6,270,90,2
6.00,0.00,1,275.15,275.15,275.15,1016,93,5,270,75,2
7.00,0.00,1,275.15,275.15,275.15,1016,93,5,270,75,2
7.00,0.00,1,275.15,275.15,275.15,1016,93,5,270,75,2
8.00,0.00,1,275.15,275.15,275.15,1016,93,7,260,75,2
9.00,0.00,1,275.15,275.15,275.15,1016,93,7,260,75,2
10.00,0.00,1,276.15,276.15,276.15,1016,93,8,260,75,2
11.00,0.00,1,276.15,276.15,276.15,1015,93,8,260,75,2
12.00,0.00,1,276.15,276.15,276.15,1015,93,8,260,75,2
13.00,0.00,1,276.15,276.15,276.15,1013,93,8,250,75,2
14.00,0.00,1,276.15,276.15,276.15,1013,93,8,250,75,2
15.00,0.00,1,276.64,276.15,277.15,1011,86,9,260,75,2
16.00,0.00,1,276.64,276.15,277.15,1011,86,9,260,75,2
17.00,0.00,1,277.15,277.15,277.15,1010,86,9,260,75,2
18.00,0.00,1,276.64,276.15,277.15,1009,86,10,260,92,2
19.00,0.00,1,275.64,275.15,276.15,1008,93,10,250,75,2
19.00,0.00,1,275.64,275.15,276.15,1008,93,10,250,75,2
20.00,0.00,1,275.15,275.15,275.15,1007,100,10,250,75,2
20.00,0.00,1,275.15,275.15,275.15,1007,100,10,250,75,2
21.00,0.00,1,275.64,275.15,276.15,1006,93,10,250,75,2
21.00,0.00,1,275.64,275.15,276.15,1006,93,10,250,75,2
22.00,0.00,1,276.64,276.15,277.15,1004,86,10,260,75,2
23.00,0.00,1,277.15,277.15,277.15,1003,86,11,260,75,2
23.00,0.00,1,277.15,277.15,277.15,1003,86,11,260,75,2
0.00,0.00,1,277.15,277.15,277.15,1001,93,12,250,75,2
1.00,0.00,1,277.64,277.15,278.15,999,86,13,260,75,2
1.00,0.00,1,277.64,277.15,278.15,999,86,13,260,75,2
2.00,0.00,1,277.66,277.15,278.15,1000,93,8,290,75,2
3.00,0.00,1,275.13,274.15,276.15,999,93,9,260,90,2
4.00,0.00,1,276.15,276.15,276.15,999,86,8,270,75,3
5.00,0.00,1,276.15,276.15,276.15,998,86,8,280,20,3
6.00,0.00,1,276.15,276.15,276.15,997,94,9,270,20,3
7.00,0.00,1,276.64,276.15,277.15,997,80,10,270,75,3
8.00,0.00,1,277.15,277.15,277.15,997,80,10,270,75,3
9.00,0.00,1,277.15,277.15,277.15,996,80,10,270,75,3
10.00,0.00,1,277.15,277.15,277.15,996,80,11,270,75,3
11.00,0.00,1,277.15,277.15,277.15,997,80,9,280,75,3
12.00,0.00,1,276.66,276.15,277.15,997,86,11,280,75,3
13.00,0.00,1,277.15,277.15,277.15,997,86,8,280,75,3
14.00,0.00,1,274.64,274.15,275.15,998,91,6,310,40,3
15.00,0.00,1,275.15,275.15,275.15,1000,94,4,310,20,2
16.00,0.00,1,275.15,275.15,275.15,1001,94,4,320,75,2
17.00,0.00,1,275.15,275.15,275.15,1003,80,5,320,40,2
18.00,0.00,1,274.15,274.15,274.15,1004,86,6,340,75,2
19.00,0.00,1,274.15,274.15,274.15,1005,88,4,320,75,2
20.00,0.00,1,274.15,274.15,274.15,1006,86,4,320,75,2
21.00,0.00,1,274.15,274.15,274.15,1008,86,3,320,75,2
22.00,0.00,1,274.15,274.15,274.15,1009,86,4,320,75,2
23.00,0.00,1,273.15,273.15,273.15,1010,91,3,340,40,2
0.00,0.00,1,273.15,273.15,273.15,1012,91,3,340,75,2
1.00,0.00,1,272.64,272.15,273.15,1013,91,5,360,75,2
2.00,0.00,1,273.15,273.15,273.15,1014,91,4,350,40,2
3.00,0.00,1,272.15,272.15,272.15,1016,86,4,350,40,2
4.00,0.00,1,272.15,272.15,272.15,1017,86,3,340,40,2
5.00,0.00,1,272.15,272.15,272.15,1018,80,4,340,75,2
6.00,0.00,1,271.66,271.15,272.15,1020,86,4,350,40,2
7.00,0.00,1,271.15,271.15,271.15,1021,86,4,340,20,2
8.00,0.00,1,271.15,271.15,271.15,1022,79,4,340,20,2
9.00,0.00,1,270.64,270.15,271.15,1024,79,3,350,75,2
10.00,0.00,1,270.64,270.15,271.15,1026,79,4,350,40,2
11.00,0.00,1,271.64,271.15,272.15,1026,63,5,360,75,2
12.00,0.00,1,271.64,271.15,272.15,1027,50,6,10,40,2
13.00,0.00,1,271.64,271.15,272.15,1028,50,3,0,40,3
14.00,0.00,1,271.15,271.15,271.15,1029,54,5,10,40,3
15.00,0.00,1,270.15,270.15,270.15,1031,68,6,350,40,3
16.00,0.00,1,269.15,269.15,269.15,1032,62,4,360,20,3
17.00,0.00,1,268.64,268.15,269.15,1033,62,4,360,20,2
18.00,0.00,1,268.15,268.15,268.15,1034,67,4,350,0,2
19.00,0.00,1,268.15,268.15,268.15,1034,67,3,340,0,2
20.00,0.00,1,267.15,267.15,267.15,1035,73,3,350,20,2
21.00,0.00,1,267.15,267.15,267.15,1036,73,3,330,40,2
22.00,0.00,1,267.15,267.15,267.15,1036,73,3,350,0,2
23.00,0.00,1,266.66,266.15,267.15,1037,79,2,340,0,2
0.00,0.00,1,266.15,266.15,266.15,1037,79,2,350,0,2
1.00,0.00,1,266.66,266.15,267.15,1038,79,1,340,0,2
2.00,0.00,1,266.15,266.15,266.15,1038,79,1,0,0,2
3.00,0.00,1,266.64,266.15,267.15,1038,73,2,360,0,2
4.00,0.00,1,265.13,264.15,266.15,1039,73,2,340,0,2
5.00,0.00,1,266.15,266.15,266.15,1039,79,2,340,0,2
6.00,0.00,1,265.64,265.15,266.15,1040,79,2,340,0,2
